city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id
Fort Wayne,Fort Wayne,IN,Indiana,18003,Allen,41.0885,-85.1436,326814,264488,923,polygon,TRUE,America/Indiana/Indianapolis,46835 46845 46818 46814 46815 46816 46825 46803 46802 46807 46806 46805 46804 46809 46808 46801 46850 46851 46852 46853 46854 46855 46856 46857 46858 46859 46860 46861 46862 46863 46864 46865 46866 46867 46868 46869 46885 46895 46896 46897 46898 46899,1840008261
South Bend,South Bend,IN,Indiana,18141,St. Joseph,41.6771,-86.269,279698,101735,950,polygon,TRUE,America/Indiana/Indianapolis,46616 46635 46628 46601 46614 46613 46619 46617 46615 46624 46626 46634 46660 46680 46699,1840009241
Evansville,Evansville,IN,Indiana,18163,Vanderburgh,37.9882,-87.5339,233353,119477,974,polygon,TRUE,America/Chicago,47708 47714 47715 47710 47711 47713 47701 47702 47703 47704 47705 47706 47716 47719 47721 47722 47724 47728 47730 47731 47732 47733 47734 47735 47736 47737 47740 47747 47750,1840013730
Lafayette,Lafayette,IN,Indiana,18157,Tippecanoe,40.399,-86.8592,157955,71782,940,polygon,TRUE,America/Indiana/Indianapolis,47909 47905 47904 47901 47902 47903,1840008354
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6104,476689,215472,935,polygon,TRUE,America/Chicago,50309 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311 50312 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50333 50334 50335 50336 50339 50340 50359 50360 50361 50362 50363 50364 50367 50368 50369 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069
Davenport,Davenport,IA,Iowa,19163,Scott,41.5558,-90.6052,288233,102612,629,polygon,TRUE,America/Chicago,52802 52803 52801 52806 52807 52804 52805 52808 52809,1840007081
Cedar Rapids,Cedar Rapids,IA,Iowa,19113,Linn,41.9667,-91.6781,184610,131127,715,polygon,TRUE,America/Chicago,52404 52405 52402 52401 52411 52403 52406 52407 52408 52409 52410 52497 52498 52499,1840000471
Iowa City,Iowa City,IA,Iowa,19103,Johnson,41.6558,-91.5304,116891,74398,1109,polygon,TRUE,America/Chicago,52245 52246 52240 52242 52243 52244,1840000532
Waterloo,Waterloo,IA,Iowa,19013,Black Hawk,42.492,-92.3522,112635,67934,427,polygon,TRUE,America/Chicago,50707 50703 50702 50701 50704,1840000440
Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6894,-97.344,482205,389902,942,polygon,TRUE,America/Chicago,67230 67235 67260 67217 67216 67215 67214 67213 67212 67211 67210 67219 67218 67223 67220 67226 67202 67203 67204 67205 67206 67207 67208 67209 67201 67275 67276 67277 67278,1840001686
Overland Park,Overland Park,KS,Kansas,20091,Johnson,38.8871,-94.6871,188966,188966,971,polygon,TRUE,America/Chicago,66214 66210 66211 66212 66213 66221 66223 66209 66202 66207 66204 66062 66085 66224 66201 66222 66225 66250 66251 66276 66282 66283 66285 66286,1840003834
Kansas City,Kansas City,KS,Kansas,20209,Wyandotte,39.1234,-94.7443,151709,151709,469,polygon,TRUE,America/Chicago,66101 66102 66103 66104 66105 66106 66109 66115 66112 66111 66118 66110 66117 66119 66160,1840001626
Topeka,Topeka,KS,Kansas,20177,Shawnee,39.0347,-95.6955,149220,126808,804,polygon,TRUE,America/Chicago,66621 66622 66609 66608 66607 66606 66605 66604 66603 66611 66612 66614 66616 66601 66620 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699,1840001621
Olathe,Olathe,KS,Kansas,20091,Johnson,38.884,-94.8194,135473,135473,865,polygon,TRUE,America/Chicago,66062 66061 66051 66063,1840003833
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1662,-85.6488,1003412,616261,902,polygon,TRUE,America/New_York,40177 40245 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118 40018 40027,1840030815
Lexington,Lexington,KY,Kentucky,21067,Fayette,38.0423,-84.4587,312495,318449,433,polygon,TRUE,America/New_York,40508 40509 40505 40502 40504 40507 40503 40506 40511 40516 40513 40510 40517 40515 40514 40512 40522 40523 40524 40526 40533 40536 40544 40546 40550 40555 40574 40575 40576 40577 40578 40579 40580 40581 40582 40583 40588 40591 40598,1840015211
Bowling Green,Bowling Green,KY,Kentucky,21227,Warren,36.9725,-86.4371,87976,65234,656,polygon,TRUE,America/Chicago,42104 42102 42103 42101,1840013265
Elizabethtown,Elizabethtown,KY,Kentucky,21093,Hardin,37.7033,-85.8771,77016,29906,427,polygon,TRUE,America/New_York,42701 42702,1840013218
Owensboro,Owensboro,KY,Kentucky,21059,Daviess,37.7574,-87.1181,73011,59273,1149,polygon,TRUE,America/Chicago,42301 42303 42302 42304,1840014340
New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,1024421,391495,892,polygon,TRUE,America/Chicago,70139 70130 70131 70114 70115 70116 70117 70112 70113 70118 70119 70129 70128 70125 70124 70127 70126 70122 70163 70141 70142 70143 70145 70146 70148 70150 70151 70152 70153 70154 70156 70157 70158 70159 70160 70161 70162 70164 70165 70166 70167 70170 70172 70174 70175 70176 70177 70178 70179 70181 70182 70183 70184 70185 70186 70187 70189 70190 70195,1840001839
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.4422,-91.1314,589675,227715,1023,polygon,TRUE,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70819 70811 70815 70814 70816 70804 70813 70821 70822 70823 70825 70826 70827 70831 70833 70835 70837 70873 70874 70879 70884 70891 70892 70893 70894 70895 70896 70898,1840013941
Shreveport,Shreveport,LA,Louisiana,22017,Caddo,32.4659,-93.7959,291749,194920,702,polygon,TRUE,America/Chicago,71129 71101 71103 71104 71105 71106 71107 71108 71109 71119 71118 71102 71120 71130 71133 71134 71135 71136 71137 71138 71148 71149 71151 71152 71153 71154 71156 71161 71162 71163 71164 71165 71166,1840015768
Lafayette,Lafayette,LA,Louisiana,22055,Lafayette,30.2097,-92.0314,267376,127626,915,polygon,TRUE,America/Chicago,70508 70507 70506 70503 70501 70502 70504 70505 70509 70593 70596 70598,1840015044
Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153097,76848,704,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039
Portland,Portland,ME,Maine,23005,Cumberland,43.6772,-70.2713,206193,66937,1199,polygon,TRUE,America/New_York,04101 04102 04108 04109 04019 04103 04104 04112 04122 04123 04124,1840000327
Bangor,Bangor,ME,Maine,23019,Penobscot,44.8322,-68.7906,59259,31985,360,polygon,TRUE,America/New_York,04401 04402,1840000238
Lewiston,Lewiston,ME,Maine,23001,Androscoggin,44.0915,-70.1681,58664,36140,408,polygon,TRUE,America/New_York,04240 04241 04243,1840000320
Sanford,Sanford,ME,Maine,23031,York,43.4244,-70.7573,29139,20938,169,polygon,TRUE,America/New_York,04073 04083,1840002672
Waterville,Waterville,ME,Maine,23011,Kennebec,44.544,-69.6626,26806,16406,466,polygon,TRUE,America/New_York,04901 04903,1840000305
